"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.051502135E0,5.162426778E1,6.974752180E0,3.457334878E1,7.930236816E1,0.000000000E0,0.000000000E0,0.000000000E0,8.247546196E0,8.738114357E0,1.000000000E1
1.144408489E0,5.162426778E1,6.974752180E0,3.457334878E1,7.930236816E1,0.000000000E0,0.000000000E0,1.036780683E-3,8.247546196E0,8.738114357E0,1.000000000E1
2.152151301E0,5.162427649E1,6.974746820E0,3.382112028E1,7.855010986E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.501942158E0,7.894356728E0,8.000000000E0
3.147425520E0,5.162427649E1,6.974746820E0,3.382099821E1,7.854998779E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.289083481E0,7.317812443E0,8.000000000E0
4.146594374E0,5.162427649E1,6.974746820E0,3.382093717E1,7.854992676E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.193391323E0,6.804930210E0,8.000000000E0
5.146087446E0,5.162427649E1,6.974746820E0,3.382093717E1,7.854992676E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.210118294E0,6.360806942E0,8.000000000E0
6.146656091E0,5.162427649E1,6.974746820E0,3.382093717E1,7.854992676E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.538089275E0,6.288652420E0,5.000000000E0
7.146823747E0,5.162427649E1,6.974746820E0,3.382093717E1,7.854992676E1,0.000000000E0,0.000000000E0,1.036780683E-3,6.879146099E0,6.179456711E0,6.000000000E0
8.148998695E0,5.162427649E1,6.974746820E0,3.382093717E1,7.854992676E1,0.000000000E0,0.000000000E0,1.036780683E-3,7.264879227E0,6.072333813E0,6.000000000E0
9.147332809E0,5.162427649E1,6.974746820E0,3.382099821E1,7.854998779E1,0.000000000E0,0.000000000E0,1.036780683E-3,7.695858002E0,5.975129128E0,6.000000000E0
1.014718651E1,5.162427649E1,6.974746820E0,3.382081510E1,7.854980469E1,0.000000000E0,0.000000000E0,1.036780683E-3,8.165400505E0,5.896524429E0,6.000000000E0
1.114710547E1,5.162427649E1,6.974746820E0,3.382057096E1,7.854956055E1,0.000000000E0,0.000000000E0,1.039819522E-3,8.706789970E0,5.963263035E0,6.000000000E0
1.214651661E1,5.162427647E1,6.974746790E0,3.381776331E1,7.854675293E1,0.000000000E0,0.000000000E0,1.065953502E-3,8.942774773E0,5.861769676E0,6.000000000E0
1.314811005E1,5.162427626E1,6.974746620E0,3.390693518E1,7.863592529E1,0.000000000E0,0.000000000E0,1.078110989E-3,9.065560341E0,5.943139076E0,7.000000000E0
1.414944119E1,5.162427635E1,6.974746720E0,3.387171808E1,7.860070801E1,0.000000000E0,0.000000000E0,1.084188667E-3,1.205648136E1,7.789533615E0,8.000000000E0
1.514979281E1,5.162427639E1,6.974746780E0,3.384754824E1,7.857653809E1,0.000000000E0,0.000000000E0,1.088330560E-3,1.348833466E1,8.448946953E0,8.000000000E0
1.614860562E1,5.162427639E1,6.974746840E0,3.382508725E1,7.855407715E1,0.000000000E0,0.000000000E0,1.095842212E-3,1.477592468E1,8.838486671E0,8.000000000E0
1.715020817E1,5.162427633E1,6.974746790E0,3.384754805E1,7.857653809E1,0.000000000E0,0.000000000E0,1.152852673E-3,1.614180756E1,9.152526855E0,8.000000000E0
1.814706031E1,5.162427643E1,6.974745980E0,3.268000745E1,7.740899658E1,0.000000000E0,0.000000000E0,1.162452938E-3,1.426190567E1,9.129794121E0,8.000000000E0
1.914939791E1,5.162427637E1,6.974745880E0,3.263386477E1,7.736285400E1,0.000000000E0,0.000000000E0,1.170046409E-3,1.699113083E1,1.037507629E1,1.000000000E1
