"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.060175520E0,5.162325246E1,6.974297170E0,5.229456128E1,9.702624512E1,2.800000012E-1,1.536000061E2,8.075011335E-3,3.683854675E1,2.153825569E1,2.300000000E1
1.711754010E0,5.162319669E1,6.974372090E0,4.619985766E1,9.093176270E1,0.000000000E0,0.000000000E0,1.197528774E-2,1.110327244E1,1.059221649E1,5.000000000E0
2.711597499E0,5.162316217E1,6.974382110E0,4.404362005E1,8.877563477E1,0.000000000E0,0.000000000E0,1.414584319E-2,6.781370163E0,8.132392883E0,1.300000000E1
3.712952915E0,5.162318168E1,6.974383130E0,4.505209988E1,8.978405762E1,0.000000000E0,0.000000000E0,1.626215570E-2,5.820111752E0,6.893148422E0,1.900000000E1
4.710565727E0,5.162318129E1,6.974413780E0,4.561787166E1,9.034985352E1,0.000000000E0,0.000000000E0,1.642285180E-2,5.508975983E0,6.536002636E0,2.100000000E1
5.710247133E0,5.162318225E1,6.974412040E0,4.696925520E1,9.170123291E1,0.000000000E0,0.000000000E0,1.731875136E-2,5.018335819E0,5.676283836E0,2.200000000E1
6.711269372E0,5.162317424E1,6.974413440E0,4.591313913E1,9.064514160E1,0.000000000E0,0.000000000E0,1.818495480E-2,4.840289593E0,5.263287544E0,2.200000000E1
7.709911924E0,5.162316980E1,6.974423750E0,4.521646299E1,8.994848633E1,0.000000000E0,0.000000000E0,1.876565833E-2,4.746968269E0,5.023900986E0,2.200000000E1
8.710044215E0,5.162316786E1,6.974431560E0,4.559102415E1,9.032305908E1,0.000000000E0,0.000000000E0,1.959716364E-2,4.494660378E0,4.577896118E0,2.200000000E1
9.710221507E0,5.162317450E1,6.974426020E0,4.376689024E1,8.849890137E1,0.000000000E0,0.000000000E0,2.013638175E-2,4.318765640E0,4.303414822E0,2.300000000E1
1.071143281E1,5.162317268E1,6.974418780E0,4.188407778E1,8.661608887E1,0.000000000E0,0.000000000E0,2.021349795E-2,4.298133373E0,4.313340187E0,2.300000000E1
1.170996656E1,5.162317313E1,6.974419630E0,4.212779186E1,8.685980225E1,0.000000000E0,0.000000000E0,2.039319567E-2,4.237292290E0,4.260343075E0,2.300000000E1
1.271189015E1,5.162317187E1,6.974421260E0,4.194034794E1,8.667236328E1,0.000000000E0,0.000000000E0,2.044230493E-2,4.098187923E0,4.104317665E0,2.300000000E1
1.371105026E1,5.162317145E1,6.974421040E0,4.176914325E1,8.650115967E1,0.000000000E0,0.000000000E0,2.050390752E-2,3.921156645E0,3.833698273E0,2.300000000E1
1.471110114E1,5.162317173E1,6.974420270E0,4.177616370E1,8.650817871E1,0.000000000E0,0.000000000E0,2.050963613E-2,3.790092468E0,3.570822716E0,2.200000000E1
1.571121281E1,5.162317178E1,6.974420290E0,4.174949147E1,8.648150635E1,0.000000000E0,0.000000000E0,2.056716319E-2,3.790092468E0,3.349782228E0,2.100000000E1
1.671139801E1,5.162317127E1,6.974420430E0,4.192807872E1,8.666009521E1,0.000000000E0,0.000000000E0,2.059796927E-2,3.790092468E0,3.129593134E0,2.100000000E1
1.771332932E1,5.162317100E1,6.974420530E0,4.197190109E1,8.670391846E1,0.000000000E0,0.000000000E0,2.078998506E-2,3.790092468E0,2.992616177E0,2.100000000E1
1.871108921E1,5.162317252E1,6.974419210E0,4.178196517E1,8.651397705E1,0.000000000E0,0.000000000E0,2.090972758E-2,3.790092468E0,2.744194746E0,2.100000000E1
1.971054926E1,5.162317148E1,6.974419660E0,4.203531869E1,8.676733398E1,0.000000000E0,0.000000000E0,2.091801157E-2,3.790092468E0,2.809842825E0,2.100000000E1
2.070890156E1,5.162317148E1,6.974419780E0,4.203513549E1,8.676715088E1,0.000000000E0,0.000000000E0,2.103015538E-2,3.790092468E0,2.849646568E0,2.100000000E1
